index,Question,Segment Type,Segment Description,Answer,Count,Percentage,Count_log,Facebook,Instagram,Snapchat,Twitter,nan,Count_standardized,Percentage_standardized
123,What social platform has influenced your online shopping most?,University,Wesleyan University,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
124,What social platform has influenced your online shopping most?,University,Wesleyan University,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.43586745633140567,-0.7050439820234969
125,What social platform has influenced your online shopping most?,University,Memorial University of Newfoundland,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
126,What social platform has influenced your online shopping most?,University,Memorial University of Newfoundland,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
127,What social platform has influenced your online shopping most?,University,Memorial University of Newfoundland,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
128,What social platform has influenced your online shopping most?,University,Memorial University of Newfoundland,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
129,What social platform has influenced your online shopping most?,University,Memorial University of Newfoundland,nan,1,1.0,0.6931471805599453,0.0,0.0,0.0,0.0,1.0,-0.41638912033078446,2.8978644388705295
130,What social platform has influenced your online shopping most?,University,University of Kansas,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
131,What social platform has influenced your online shopping most?,University,University of Kansas,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
132,What social platform has influenced your online shopping most?,University,University of Kansas,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
133,What social platform has influenced your online shopping most?,University,University of Kansas,Twitter,1,1.0,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,-0.41638912033078446,2.8978644388705295
134,What social platform has influenced your online shopping most?,University,University of Kansas,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.43586745633140567,-0.7050439820234969
135,What social platform has influenced your online shopping most?,University,University of Redlands,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
136,What social platform has influenced your online shopping most?,University,University of Redlands,Instagram,2,1.0,1.0986122886681098,0.0,1.0,0.0,0.0,0.0,-0.3969107843301633,2.8978644388705295
137,What social platform has influenced your online shopping most?,University,University of Redlands,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
138,What social platform has influenced your online shopping most?,University,University of Redlands,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
139,What social platform has influenced your online shopping most?,University,University of Redlands,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.43586745633140567,-0.7050439820234969
140,What social platform has influenced your online shopping most?,University,University of Arkansas,Facebook,1,0.053,0.6931471805599453,1.0,0.0,0.0,0.0,0.0,-0.41638912033078446,-0.5140898357161136
141,What social platform has influenced your online shopping most?,University,University of Arkansas,Instagram,10,0.526,2.3978952727983707,0.0,1.0,0.0,0.0,0.0,-0.24108409632519376,1.190085847366761
142,What social platform has influenced your online shopping most?,University,University of Arkansas,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
143,What social platform has influenced your online shopping most?,University,University of Arkansas,Twitter,3,0.158,1.3862943611198906,0.0,0.0,0.0,1.0,0.0,-0.3774324483295421,-0.13578445152224075
144,What social platform has influenced your online shopping most?,University,University of Arkansas,nan,5,0.263,1.791759469228055,0.0,0.0,0.0,0.0,1.0,-0.3384757763282997,0.24252093267163205
145,What social platform has influenced your online shopping most?,University,Richland High School,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
146,What social platform has influenced your online shopping most?,University,Richland High School,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
147,What social platform has influenced your online shopping most?,University,Richland High School,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
148,What social platform has influenced your online shopping most?,University,Richland High School,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
149,What social platform has influenced your online shopping most?,University,Richland High School,nan,1,1.0,0.6931471805599453,0.0,0.0,0.0,0.0,1.0,-0.41638912033078446,2.8978644388705295
150,What social platform has influenced your online shopping most?,University,Wake Forest University,Facebook,1,1.0,0.6931471805599453,1.0,0.0,0.0,0.0,0.0,-0.41638912033078446,2.8978644388705295
151,What social platform has influenced your online shopping most?,University,Wake Forest University,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
152,What social platform has influenced your online shopping most?,University,Wake Forest University,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
153,What social platform has influenced your online shopping most?,University,Wake Forest University,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
154,What social platform has influenced your online shopping most?,University,Wake Forest University,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.43586745633140567,-0.7050439820234969
155,What social platform has influenced your online shopping most?,University,Iowa State University,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
